Date,Open,High,Low,Close,Adj Close,Volume,Day
12/21/2018,85.434998,85.93,83.415001,83.504997,79.287071,927800,1323
12/24/2018,82.584999,83.125,81.014999,81.014999,76.922882,804000,1324
12/26/2018,81.455002,84.084999,80.144997,84.055,79.809303,975200,1325
12/27/2018,82.574997,85.334999,82.165001,85.324997,81.015167,2696400,1326
12/28/2018,85.824997,86.510002,84.925003,85.425003,81.110092,719000,1327
12/31/2018,85.910004,86.605003,85.544998,86.43,82.064354,554800,1328
1/2/2019,84.995003,86.864998,84.654999,86.775002,82.391914,485000,1329
1/3/2019,86.235001,86.235001,84.004997,84.169998,79.91851,500800,1330
1/4/2019,85.455002,87.160004,84.855003,86.919998,82.529594,934200,1331
1/7/2019,87.089996,87.964996,86.339996,87.639999,83.213211,396200,1332
1/8/2019,88.605003,89.125,88.120003,89.074997,84.575729,394800,1333
1/9/2019,89.510002,89.860001,89.125,89.540001,85.017258,377800,1334
1/10/2019,89,90.75,89,90.724998,86.142418,324600,1335
1/11/2019,90.345001,90.949997,89.695,90.900002,86.308563,237600,1336
1/14/2019,90.050003,91.519997,90,90.860001,86.270599,239200,1337
1/15/2019,91.059998,91.224998,90.195,91.050003,86.450989,294200,1338
1/16/2019,91.230003,91.290001,90.485001,90.864998,86.275337,353200,1339
1/17/2019,90.389999,92.900002,90.389999,92.260002,87.599869,398800,1340
1/18/2019,92.839996,94.160004,92.839996,93.68,88.948158,734600,1341
1/22/2019,93.059998,93.059998,90.830002,91.464996,86.845032,704600,1342
1/23/2019,92.264999,93.485001,91.355003,92.635002,87.955948,437200,1343
1/24/2019,92.754997,94.144997,92.635002,93.470001,88.748756,405600,1344
1/25/2019,94.5,94.82,94.110001,94.309998,89.546326,376800,1345
1/28/2019,93.669998,94.220001,92.949997,94.199997,89.441872,346600,1346
1/29/2019,94.290001,96.449997,94.195,96.010002,91.160454,716400,1347
1/30/2019,97.485001,97.855003,95.555,97.345001,92.428024,446600,1348
1/31/2019,96.875,97.805,96.510002,97.25,92.337822,378000,1349
2/1/2019,97.625,98.080002,97.074997,97.400002,92.480255,444000,1350
2/4/2019,97.385002,99.440002,97.010002,99.43,94.407715,714800,1351
2/5/2019,99.785004,100.535004,99.449997,100.5,95.423668,1290400,1352
2/6/2019,100.555,100.959999,100.044998,100.595001,95.51387,676600,1353
2/7/2019,100.084999,100.449997,98.900002,100.099998,95.043861,570800,1354
2/8/2019,99.440002,100.394997,99.245003,100.389999,95.319229,610400,1355
2/11/2019,100.639999,101.160004,100.470001,100.800003,95.708519,620200,1356
2/12/2019,101.540001,102.089996,101.264999,101.995003,96.843147,906600,1357
2/13/2019,102.410004,102.5,101.754997,102.105003,96.947586,866400,1358
2/14/2019,101.805,102.300003,101.355003,101.980003,96.828918,744400,1359
2/15/2019,102.5,104.099998,102.434998,104.099998,98.841812,989000,1360
2/19/2019,103.75,104.305,103.370003,104.025002,98.770607,755000,1361
2/20/2019,103.974998,104.610001,103.75,104.555,99.273827,712400,1362
2/21/2019,104.349998,104.559998,103.349998,103.705002,98.466782,594200,1363
2/22/2019,104.150002,104.790001,103.93,104.724998,99.435257,774600,1364
2/25/2019,105.324997,105.665001,104.635002,104.720001,99.430511,1133800,1365
2/26/2019,104.535004,104.815002,103.955002,104.019997,98.765869,1557000,1366
2/27/2019,103.709999,104.400002,103.275002,104.275002,99.007996,230800,1367
2/28/2019,104.279999,105.205002,104.230003,104.559998,99.278587,384800,1368
3/1/2019,105.25,105.339996,104.025002,104.660004,99.373512,568600,1369
3/4/2019,105.239998,105.345001,102.449997,102.989998,97.787895,1039000,1370
